gene	drug	score	types	sources
EGFR	AFATINIB	0.8549152942214049	inhibitor,inhibitor	COSMIC,MyCancerGenome,GuideToPharmacology,FDA,CGI,OncoKB,TALC,DTC,TTD,MyCancerGenomeClinicalTrial,DoCM,CancerCommons,CIViC,TdgClinicalTrial
EGFR	ROCILETINIB	0.606322903703124	inhibitor,inhibitor	CIViC,ChEMBL,MyCancerGenome,GuideToPharmacology,CGI,TTD,TALC
EGFR	AUMOLERTINIB	0.3637937422218744	inhibitor,inhibitor	ChEMBL,GuideToPharmacology
EGFR	FUTUXIMAB	0.3637937422218744	inhibitor	ChEMBL,TTD
EGFR	MATUZUMAB	0.3637937422218744	inhibitor	TALC,TTD
EGFR	GRACILIN J	0.3637937422218744		DTC
EGFR	RINDOPEPIMUT	0.1818968711109372	vaccine	ChEMBL
EGFR	OLMUTINIB	0.1818968711109372	inhibitor	ChEMBL
EGFR	OSIMERTINIB MESYLATE	0.1818968711109372	inhibitor	ChEMBL
EGFR	NIMOTUZUMAB	0.1818968711109372	inhibitor	ChEMBL
EGFR	GEFITINIB	0.1660797518838992	inhibitor,inhibitor	CIViC,MyCancerGenomeClinicalTrial,COSMIC,TALC,GuideToPharmacology,TdgClinicalTrial,ClearityFoundationBiomarkers,ChEMBL,CancerCommons,MyCancerGenome,CGI,DTC,TEND,OncoKB,DoCM,FDA,TTD
EGFR	ABIVERTINIB	0.09094843555546861	inhibitor	ChEMBL
EGFR	ABIVERTINIB MALEATE	0.09094843555546861	inhibitor	ChEMBL
EGFR	PD-0166285 HYDROCHLORIDE	0.0454742177777343	inhibitor	ChEMBL
EGFR	CISPLATIN	0.002178405642047152		CIViC
PTEN	IPATASERTIB	0.6014998806054855		CIViC,CKB-CORE
PTEN	EVEROLIMUS	0.1964081242793422		ClearityFoundationBiomarkers,CKB-CORE,CGI,CIViC
PTEN	CHEMBL:CHEMBL4439276	0.1718571087444244		CKB-CORE
PTEN	VS-5584	0.1374856869955395		CKB-CORE
PTEN	DORDAVIPRONE	0.1145714058296163		CKB-CORE
PTEN	VISTUSERTIB	0.09820406213967112		CKB-CORE
PTEN	PLX-4720	0.0763809372197442		CKB-CORE
PTEN	ERDAFITINIB	0.0763809372197442		CKB-CORE
PTEN	TRASTUZUMAB	0.06137753883729444		CIViC,CGI
PTEN	GEDATOLISIB	0.05499427479821582		CKB-CORE
PTEN	PEMBROLIZUMAB	0.05029964158373398		CIViC,CKB-CORE
PTEN	ANTINEOPLASTIC AGENT	0.04910203106983556		NCI
PTEN	OSIMERTINIB	0.03437142174888489		CKB-CORE
PTEN	ZSTK474	0.0312467470444408		ClearityFoundationBiomarkers
PTEN	PACLITAXEL PROTEIN-BOUND	0.02937728354605546		CIViC,CKB-CORE
KRAS	SOTORASIB	1.446229221127943		PharmGKB,CIViC
KRAS	VEDROPREVIR	0.433868766338383	inhibitor	ChEMBL
KRAS	RAS PEPTIDE CANCER VACCINE	0.433868766338383	vaccine	TALC
KRAS	AMG410	0.433868766338383	modulator	GuideToPharmacology
KRAS	SOTORASIB	0.433868766338383	inhibitor	ChEMBL
KRAS	GARSORASIB	0.433868766338383	inhibitor	GuideToPharmacology
KRAS	TIZATERKIB	0.2169343831691915		CIViC
KRAS	NIVOLUMAB	0.05423359579229787		CIViC,PharmGKB
KRAS	PIMASERTIB	0.05423359579229787		ClearityFoundationBiomarkers
KRAS	COBIMETINIB	0.05104338427510388		ClearityFoundationBiomarkers,OncoKB
KRAS	GEMCITABINE	0.02142561809078434		CIViC,CGI
KRAS	BEVACIZUMAB	0.01928305628170591		CIViC
