matched_gene	nct_id	title	phase	status	conditions	url
BRAF	NCT03340506	Dabrafenib and/or Trametinib Rollover Study	PHASE4	RECRUITING	Melanoma,Non Small Cell Lung Cancer,Solid Tumor,Rare Cancers,High Grade Glioma	https://clinicaltrials.gov/study/NCT03340506
EGFR	NCT06068049	OSIREAL - Osimertinib RWE on EGFRm NSCLC in Spain		RECRUITING	Non-small Cell Lung Cancer	https://clinicaltrials.gov/study/NCT06068049
EGFR	NCT06775743	ORIENT-31 Regimen in Combination With SBRT for EGFR-mutant Metastatic NSCLC After First-line Third-generation EGFR-TKIs	PHASE2	RECRUITING	NSCLC (Advanced Non-small Cell Lung Cancer),EGFR Mutation Positive Advanced Non Small Cell Lung Cancer	https://clinicaltrials.gov/study/NCT06775743
EGFR	NCT06706076	A Study of BH-30643 in Subjects With Locally Advanced or Metastatic NSCLC Harboring EGFR and/or HER2 Mutations	PHASE1,PHASE2	RECRUITING	NSCLC (Advanced Non-small Cell Lung Cancer)	https://clinicaltrials.gov/study/NCT06706076
EGFR	NCT07361237	A Phase l Clinical Study to Evalute the Safety,Tolerability,Pharmacokinetic Characteristics,and Preliminary Anti-tumor Efficacy of HJ-004-02 Tablets in Patients	PHASE1	RECRUITING	NSCLC (Advanced Non-small Cell Lung Cancer)	https://clinicaltrials.gov/study/NCT07361237
KRAS	NCT06793215	A Study Evaluating the Efficacy and Safety of Divarasib and Pembrolizumab Versus Pembrolizumab and Pemetrexed and Carboplatin or Cisplatin in Participants With 	PHASE3	RECRUITING	Non-Small Cell Lung Cancer,KRAS G12C Lung Cancer	https://clinicaltrials.gov/study/NCT06793215
KRAS	NCT07094113	AMG 410 Alone and in Combination With Other Agents in Participants With KRAS Altered Advanced or Metastatic Solid Tumors	PHASE1	RECRUITING	KRAS Altered Advanced or Metastatic Solid Tumors	https://clinicaltrials.gov/study/NCT07094113
KRAS	NCT06162221	Study of RAS(ON) Inhibitors in Patients With Advanced RAS-mutated NSCLC	PHASE1,PHASE2	RECRUITING	Non-Small Cell Lung Cancer, NSCLC,KRAS, NRAS, HRAS-mutated NSCLC,KRAS G12C-mutated Solid Tumors, Lung Cancer,Lung Cancer	https://clinicaltrials.gov/study/NCT06162221
KRAS	NCT06917079	BBO-11818 in Adult Subjects With KRAS Mutant Cancer	PHASE1	RECRUITING	Non-Small Cell Lung Cancer,NSCLC,PDAC - Pancreatic Ductal Adenocarcinoma,CRC (Colorectal Cancer),Metastatic Non-Small Lu	https://clinicaltrials.gov/study/NCT06917079
TP53	NCT04585750	The Evaluation of PC14586 in Patients With Advanced Solid Tumors Harboring a TP53 Y220C Mutation (PYNNACLE)	PHASE1,PHASE2	RECRUITING	Advanced Solid Tumor,Advanced Malignant Neoplasm,Metastatic Cancer,Metastatic Solid Tumor,Lung Cancer,Ovarian Cancer,End	https://clinicaltrials.gov/study/NCT04585750
TP53	NCT05877599	A Study of NT-175 in Adult Participants With Advanced Malignancies That Are Positive for HLA-A*02:01 and the TP53 R175H Mutation	PHASE1	RECRUITING	Non-small Cell Lung Cancer,Head and Neck Squamous Cell Carcinoma,Colorectal Carcinoma,Pancreatic Adenocarcinoma,Breast C	https://clinicaltrials.gov/study/NCT05877599
TP53	NCT06369181	Neuroendocrine Transformation in RB1/TP53 Inactivated NSCLC		RECRUITING	Neuroendocrine Carcinoma,Non-small Cell Lung Cancer,Histology Transformation	https://clinicaltrials.gov/study/NCT06369181
