gene	chrom	transcript	n_exons	exonic_bp_padded	gene_start	gene_end
AKT1	chr14	ENST00000649815	15	3557	104769348	104799934
ALK	chr2	ENST00000389048	29	7400	29190995	29921586
APC	chr5	ENST00000257430	16	11344	112707452	112846239
AR	chrX	ENST00000374690	8	10987	67543353	67730619
ATM	chr11	ENST00000675843	63	15435	108222788	108369102
ATRX	chrX	ENST00000373344	35	12565	77504862	77786233
BARD1	chr2	ENST00000260947	11	5918	214724705	214809726
BRAF	chr7	ENST00000646891	18	7179	140719327	140925199
BRCA1	chr17	ENST00000357654	23	8008	43044292	43170245
BRCA2	chr13	ENST00000380152	27	13034	32315086	32400268
BRIP1	chr17	ENST00000259008	20	8982	61679139	61863561
CDK12	chr17	ENST00000447079	14	8847	39461437	39567559
CDK4	chr12	ENST00000257904	8	2185	57746043	57756013
CDKN2A	chr9	ENST00000304494	3	1098	21966924	21995301
CHEK1	chr11	ENST00000438015	13	4648	125625163	125676255
CHEK2	chr22	ENST00000404276	15	2444	28687738	28742422
CTNNB1	chr3	ENST00000349496	15	4261	41194741	41260096
DDR2	chr1	ENST00000367921	18	10806	162630857	162787405
EGFR	chr7	ENST00000275493	28	11025	55018820	55211628
ERBB2	chr17	ENST00000269571	27	5637	39687914	39730426
ERBB3	chr12	ENST00000267101	28	6735	56076799	56103505
ERBB4	chr2	ENST00000342788	28	13217	211375717	212539266
ESR1	chr6	ENST00000206249	8	6647	151651284	152129619
FANCA	chr16	ENST00000389301	43	7172	89726683	89816977
FANCL	chr2	ENST00000233741	14	2218	58159243	58241410
FBXW7	chr4	ENST00000281708	14	6199	152320544	152536353
FGFR1	chr8	ENST00000447712	18	6417	38400215	38468834
FGFR2	chr10	ENST00000358487	18	5344	121478331	121598770
FGFR3	chr4	ENST00000440486	18	5021	1793286	1808873
FOXL2	chr3	ENST00000648323	1	2954	138944224	138947137
GNA11	chr19	ENST00000078429	7	4470	3094320	3124001
GNAQ	chr9	ENST00000286548	7	7162	77716097	78032500
GNAS	chr20	ENST00000371085	13	2374	58839669	58911192
H3F3A	chr1	ENST00000366815	4	1230	226061571	226073207
HIST1H3B	chr6	ENST00000621411	1	551	26028850	26032102
HRAS	chr11	ENST00000311189	6	1310	532242	537343
IDH1	chr2	ENST00000345146	10	2718	208236224	208266095
IDH2	chr15	ENST00000330062	11	3098	90083045	90102511
JAK2	chr9	ENST00000381652	25	8023	4984390	5129950
KIT	chr4	ENST00000288135	21	5987	54657267	54740783
KRAS	chr12	ENST00000311936	5	5506	25205246	25326473
MAP2K1	chr15	ENST00000307102	11	2987	66386816	66491656
MAP2K2	chr19	ENST00000262948	11	2167	4090316	4124238
MET	chr7	ENST00000397752	21	7662	116672051	116798391
MTOR	chr1	ENST00000361445	58	11041	11106531	11262556
MYC	chr8	ENST00000621592	3	3841	127735434	127742951
NOTCH1	chr9	ENST00000651671	34	10928	136494433	136546048
NOTCH2	chr1	ENST00000256646	34	12785	119909256	120100779
NOTCH3	chr19	ENST00000263388	33	10000	15159038	15201004
NOTCH4	chr6	ENST00000375023	30	7945	32194843	32224111
NRAS	chr1	ENST00000369535	7	4606	114704468	114716775
NTRK1	chr1	ENST00000524377	17	3349	156815636	156881850
NTRK2	chr9	ENST00000277120	19	9426	84668375	85096069
NTRK3	chr15	ENST00000629765	20	20818	87859751	88256993
PALB2	chr16	ENST00000261584	13	4528	23603158	23641342
PDGFRA	chr4	ENST00000257290	23	7298	54229130	54298246
PIK3CA	chr3	ENST00000263967	21	10099	179148114	179240093
POLD1	chr19	ENST00000440232	27	4516	50384204	50418018
POLE	chr12	ENST00000320574	49	9783	132623753	132687376
PTEN	chr10	ENST00000371953	9	8875	87862638	87971930
RAD51B	chr14	ENST00000471583	11	1999	67819741	68730218
RAD51C	chr17	ENST00000337432	9	2922	58692569	58735611
RAD51D	chr17	ENST00000345365	10	10366	35092221	35121522
RAD54L	chr1	ENST00000371975	18	3798	46246461	46282459
RAF1	chr3	ENST00000251849	17	3871	12582101	12664201
RB1	chr13	ENST00000267163	27	5848	48303710	48599436
RET	chr10	ENST00000355710	20	6417	43077026	43130351
ROS1	chr6	ENST00000368507	44	10211	117287353	117425946
SMAD4	chr18	ENST00000342988	12	9252	51028528	51085045
SMO	chr7	ENST00000249373	12	4457	129188501	129213546
STK11	chr19	ENST00000326873	10	3693	1177558	1228431
TERT	chr5	ENST00000310581	16	4679	1253147	1295086
TP53	chr17	ENST00000269305	11	2952	7661779	7687546
VHL	chr3	ENST00000256474	3	4534	10141764	10153676
