chrom	length	bases	mean	min	max
chr12_25204800_25250900	46101	98835	2.14	0	300
chr12_25204800_25250900_region	300	74875	249.58	0	300
chr7_140730000_140784000	54001	99000	1.83	0	300
chr7_140730000_140784000_region	300	75000	250.00	0	300
chr17_7668000_7690000	22001	99000	4.50	0	300
chr17_7668000_7690000_region	300	75000	250.00	0	300
chr7_55174000_55200000	26001	99000	3.81	0	300
chr7_55174000_55200000_region	300	75000	250.00	0	300
chr10_87925000_87975000	50001	99000	1.98	0	300
chr10_87925000_87975000_region	300	75000	250.00	0	300
chr3_179198000_179235000	37001	99000	2.68	0	300
chr3_179198000_179235000_region	300	75000	250.00	0	300
total	235106	593835	2.53	0	300
total_region	1800	449875	249.93	0	300
