gene	chrom	transcript	n_exons	exonic_bp_padded	gene_start	gene_end
ALK	chr2	ENST00000389048	29	7400	29190995	29921586
BRAF	chr7	ENST00000646891	18	7179	140719327	140925199
EGFR	chr7	ENST00000275493	28	11025	55018820	55211628
ERBB2	chr17	ENST00000269571	27	5637	39687914	39730426
FGFR1	chr8	ENST00000447712	18	6417	38400215	38468834
FGFR2	chr10	ENST00000358487	18	5344	121478331	121598770
FGFR3	chr4	ENST00000440486	18	5021	1793286	1808873
MET	chr7	ENST00000397752	21	7662	116672051	116798391
NRG1	chr8	ENST00000405005	12	12463	31639222	32855666
NTRK1	chr1	ENST00000524377	17	3349	156815636	156881850
NTRK2	chr9	ENST00000277120	19	9426	84668375	85096069
NTRK3	chr15	ENST00000629765	20	20818	87859751	88256993
NUTM1	chr15	ENST00000537011	8	4429	34343315	34357737
PIK3CA	chr3	ENST00000263967	21	10099	179148114	179240093
RET	chr10	ENST00000355710	20	6417	43077026	43130351
ROS1	chr6	ENST00000368507	44	10211	117287353	117425946
